Data properties:

Recording date: 5/15/2009
Recording time: 12:27:23:000 (corresponds to time 0)
Study: PoPAnalyst-static-image
Subject: P01-arzu
Recording: Rec 01
Screen resolution: 1600 x 1200
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: ClearView fixation filter
Fixation radius: 50
Min duration: 100

Timestamp	StimuliName	AoiNames	GazePointX	GazePointY	FixationDuration	
21	statemap.jpg	KN	803	646	116	
38	statemap.jpg	KN	738	598	316	
54	statemap.jpg	KN	738	616	316	
71	statemap.jpg	KN	737	624	316	
88	statemap.jpg	KN	733	617	316	
104	statemap.jpg	KN	732	610	316	
121	statemap.jpg	KN	731	614	316	
138	statemap.jpg	KN	736	616	316	
154	statemap.jpg	KN	737	604	316	
171	statemap.jpg	KN	723	614	316	
188	statemap.jpg	KN	737	615	316	
204	statemap.jpg	KN	733	599	316	
221	statemap.jpg	KN	723	614	316	
237	statemap.jpg	KN	743	597	316	
254	statemap.jpg	KN	736	604	316	
271	statemap.jpg	KN	745	614	316	
287	statemap.jpg	KN	739	597	316	
304	statemap.jpg	KN	729	618	316	
321	statemap.jpg	KN	732	616	316	
337	statemap.jpg	KN	740	613	316	
354	statemap.jpg	Content	904	626		
371	statemap.jpg	IL	1009	611	167	
387	statemap.jpg	IL	993	630	167	
404	statemap.jpg	IL	988	620	167	
421	statemap.jpg	IL	987	626	167	
437	statemap.jpg	IL	985	613	167	
454	statemap.jpg	IL	977	621	167	
471	statemap.jpg	IL	1002	613	167	
487	statemap.jpg	IL	997	614	167	
504	statemap.jpg	IL	992	628	167	
521	statemap.jpg	IL	987	615	167	
537	statemap.jpg	Content	841	539		
554	statemap.jpg	Content	761	490		
571	statemap.jpg	NE	672	474	100	
587	statemap.jpg	NE	667	457	100	
604	statemap.jpg	NE	667	483	100	
621	statemap.jpg	NE	670	472	100	
637	statemap.jpg	NE	663	474	100	
654	statemap.jpg	NE	674	474	100	
671	statemap.jpg	Content	560	428		
687	statemap.jpg	Content	413	347		
704	statemap.jpg	Content	368	319		
721	statemap.jpg	Content	378	345		
737	statemap.jpg	Content	377	329		
754	statemap.jpg	Content	374	347		
770	statemap.jpg	Content	379	299		
787	statemap.jpg	Content	382	310		
804	statemap.jpg	Content	0	0		
820	statemap.jpg	Content	0	0		
837	statemap.jpg	Content	0	0		
854	statemap.jpg	WA	259	237	966	
870	statemap.jpg	WA	264	238	966	
887	statemap.jpg	WA	264	233	966	
